,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,4.366,4.061,3.797,3.556,3.45,3.133,2.912,2.676,2.471,2.23,2.015,1.785,1.604,1.369,1.126,0.895,0.659,0.344
1,4.83,4.179,3.814,3.601,3.377,3.168,2.898,2.702,2.488,2.229,1.991,1.775,1.565,1.296,1.129,0.85,0.679,0.343
2,4.435,4.207,3.814,3.649,3.375,3.153,2.927,2.712,2.471,2.227,1.999,1.76,1.553,1.308,1.093,0.848,0.588,0.338
3,4.528,4.254,3.93,3.677,3.4,3.153,2.927,2.696,2.471,2.213,2.002,1.748,1.556,1.328,1.077,0.854,0.565,0.318
4,4.56,4.284,3.964,3.686,3.425,3.148,2.939,2.69,2.468,2.219,2.024,1.75,1.545,1.303,1.091,0.85,0.549,0.32
5,4.609,4.268,4.024,3.701,3.429,3.087,2.934,2.674,2.472,2.223,2.021,1.76,1.556,1.349,1.101,0.861,0.606,0.341
6,4.607,4.258,4.017,3.665,3.416,3.071,2.93,2.656,2.47,2.224,2.054,1.787,1.59,1.348,1.148,0.857,0.596,0.36
7,4.591,4.204,3.991,3.676,3.416,2.934,2.902,2.623,2.467,2.251,2.078,1.833,1.625,1.393,1.2,0.891,0.618,0.337
8,4.601,4.188,3.914,3.631,3.35,2.919,2.873,2.602,2.433,2.259,2.117,1.907,1.726,1.476,1.303,0.93,0.664,0.376
9,4.543,4.161,3.91,3.58,3.266,2.611,2.796,2.538,2.429,2.278,2.115,2.091,1.805,1.586,1.404,1.031,0.692,0.374
10,4.524,4.114,3.856,3.497,3.204,2.577,2.713,2.477,2.432,2.349,2.148,2.112,1.94,1.679,1.534,1.077,0.75,0.419
11,4.48,4.017,3.776,3.4,3.071,2.414,2.574,2.374,2.391,2.344,2.338,2.312,2.322,1.866,1.699,1.209,0.823,0.419
12,4.455,3.954,3.703,3.29,2.678,2.42,2.388,2.36,2.354,2.336,2.345,2.325,2.3,2.007,1.824,1.242,0.872,0.459
13,4.38,3.881,3.567,2.988,2.706,2.417,2.405,2.367,2.346,2.343,2.322,2.304,2.295,2.3,1.969,1.356,0.934,0.494
14,4.307,3.85,3.458,2.938,2.428,2.418,2.367,2.385,2.354,2.358,2.32,2.288,2.295,2.289,1.956,1.423,0.932,0.513
15,4.308,3.85,3.355,2.788,2.44,2.419,2.389,2.386,2.364,2.331,2.321,2.33,2.295,2.267,1.986,1.421,1.001,0.513
16,4.278,3.837,3.342,2.75,2.371,2.392,2.403,2.366,2.356,2.37,2.326,2.305,2.297,2.288,1.842,1.414,0.981,0.516
17,4.319,3.976,3.436,2.802,2.297,2.408,2.375,2.357,2.336,2.379,2.345,2.314,2.298,2.283,1.753,1.357,0.966,0.475
18,4.412,4.029,3.603,3.08,2.66,2.408,2.375,2.388,2.352,2.362,2.32,2.307,2.309,2.03,1.564,1.231,0.909,0.454
19,4.438,4.1,3.664,3.252,3.031,2.565,2.404,2.387,2.348,2.347,2.311,2.311,1.996,1.895,1.434,1.171,0.844,0.454
20,4.443,4.108,3.732,3.252,3.163,2.755,2.375,2.472,2.264,2.341,2.342,2.166,1.852,1.751,1.309,1.078,0.793,0.409
21,4.473,4.193,3.859,3.482,3.268,3.033,2.58,2.576,2.44,2.311,2.192,2.013,1.768,1.594,1.226,1.018,0.732,0.393
22,4.518,4.211,3.928,3.478,3.312,3.041,2.696,2.595,2.442,2.288,2.114,1.938,1.694,1.485,1.189,0.94,0.678,0.374
23,4.52,4.223,3.904,0.551,3.312,3.094,2.814,2.634,2.469,2.267,2.083,1.874,1.646,1.435,1.174,0.873,0.658,0.348
24,4.527,4.224,3.91,3.611,3.321,3.129,2.853,2.669,2.466,2.254,2.078,1.862,1.656,1.429,1.142,0.888,0.626,0.355
25,4.522,4.207,3.913,3.637,3.39,3.125,2.885,2.67,2.463,2.26,2.054,1.867,1.626,1.403,1.162,0.878,0.598,0.351
26,4.493,4.173,3.912,3.629,3.378,3.151,2.88,2.697,2.477,2.249,2.047,1.862,1.646,1.409,1.157,0.886,0.66,0.337
27,4.488,4.11,3.907,3.602,3.384,0.314,2.906,2.656,2.46,2.226,2.044,1.82,1.685,1.449,1.731,0.913,0.658,0.323
28,4.375,4.086,3.893,3.621,3.383,3.126,2.906,2.682,2.46,2.277,2.043,1.864,1.681,1.452,1.21,0.931,0.709,0.393
