,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,4.063,3.892,3.682,3.441,3.368,2.892,2.892,2.493,2.461,2.046,2.053,1.559,1.638,1.035,1.192,0.511
1,4.093,3.931,3.682,3.432,3.217,2.694,2.694,2.493,2.461,1.989,1.843,1.501,1.638,1.035,0.989,0.511
2,4.112,3.931,3.579,3.432,3.217,2.694,2.694,2.475,2.271,1.994,1.843,1.501,1.39,0.993,0.989,0.515
3,4.145,3.934,3.635,3.412,3.217,2.733,2.733,2.475,2.271,1.994,1.843,1.474,1.39,0.993,0.989,0.515
4,4.173,3.934,3.635,3.418,3.145,2.733,2.733,2.475,2.271,1.994,1.843,1.474,1.39,0.993,0.989,0.515
5,4.206,3.932,3.674,3.418,3.145,2.719,2.719,2.475,2.245,1.955,1.814,1.474,1.303,0.956,0.83,0.515
6,4.196,3.899,3.674,3.423,3.145,2.719,2.719,2.475,2.245,1.955,1.814,1.474,1.303,0.986,0.83,0.501
7,4.189,3.868,3.69,3.423,3.223,2.719,2.719,2.437,2.245,1.955,1.814,1.48,1.303,0.986,0.83,0.501
8,4.163,3.885,3.69,3.4,3.223,2.929,2.73,2.437,2.237,1.97,1.814,1.48,1.303,0.986,0.83,0.501
9,4.131,3.885,3.687,3.4,3.205,2.929,2.73,2.437,2.237,1.97,1.814,1.48,1.248,0.974,0.83,0.501
10,4.104,3.86,3.687,3.398,3.205,2.935,2.73,2.437,2.237,1.97,1.776,1.458,1.248,0.974,0.785,0.506
11,4.111,3.864,3.654,3.398,3.205,2.935,2.686,2.454,2.233,1.945,1.776,1.458,1.248,0.974,0.785,0.506
12,4.087,3.864,3.654,3.387,3.175,2.905,2.686,2.454,2.233,1.945,1.776,1.458,1.287,0.974,0.785,0.506
13,4.099,3.843,3.638,3.387,3.175,2.905,2.684,2.422,2.229,1.945,1.747,1.458,1.287,1.033,0.785,0.508
14,4.098,3.843,3.638,3.39,3.175,2.934,2.684,2.422,2.229,1.976,1.747,1.529,1.287,1.033,0.775,0.508
15,4.074,3.854,3.621,3.39,3.17,2.934,2.684,2.422,2.229,1.976,1.747,1.529,1.287,1.033,0.775,0.508
16,4.074,3.854,3.621,3.409,3.17,2.924,2.717,2.456,2.205,1.976,1.747,1.529,1.287,1.033,0.775,0.508
17,4.074,3.858,3.623,3.409,2.156,2.929,2.717,2.456,2.205,1.976,1.747,1.529,1.236,1.033,0.775,0.523
18,4.062,3.858,3.623,3.398,3.156,2.929,2.717,2.456,2.205,1.976,1.747,1.529,1.236,1.087,0.775,0.523
19,4.062,3.877,3.619,3.398,3.156,2.959,2.681,2.454,2.198,2.017,1.747,1.539,1.236,1.087,0.732,0.523
20,4.066,3.895,3.619,3.398,3.172,2.959,2.681,2.493,2.198,2.017,1.73,1.539,1.236,1.087,0.732,0.554
21,4.091,3.906,3.619,3.42,3.172,2.941,2.678,2.493,2.198,2.054,1.73,1.649,1.245,1.087,0.732,0.559
22,4.071,3.888,3.631,3.42,3.172,2.941,2.678,2.484,2.221,2.054,1.73,1.649,1.245,1.087,0.732,0.71
23,4.071,3.879,3.631,3.422,3.172,2.941,2.678,2.489,2.221,2.054,1.734,1.644,1.245,1.234,0.754,0.71
24,4.095,3.879,3.641,3.422,3.168,2.928,2.718,2.494,2.221,2.149,1.734,1.644,1.245,1.234,0.754,0.71
25,4.135,3.86,3.641,3.348,3.168,2.928,2.718,2.494,2.221,2.149,1.734,1.876,1.275,1.234,0.754,0.71
26,4.135,3.798,3.626,3.348,3.168,2.928,2.718,2.494,2.255,2.149,1.774,1.876,1.275,1.234,0.754,1.028
27,4.154,3.895,3.626,3.43,3.181,3.157,2.728,2.705,2.255,2.149,1.774,1.876,1.275,1.345,0.754,1.028
28,4.134,4.046,3.639,3.586,3.181,3.157,2.728,2.705,2.255,2.316,1.774,1.871,1.275,1.345,0.829,1.028
